feature_group,feature_name,baseline_bce,ablated_bce,delta_bce,baseline_auc,ablated_auc,delta_auc,baseline_accuracy,ablated_accuracy,delta_accuracy,baseline_brier,ablated_brier,delta_brier
agent_boolean,affordance_complete_program_prompt,0.35822705592936455,0.3581937029585108,-3.3352970853772756e-05,0.8951862030911364,0.8951961319694418,9.928878305420774e-06,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.1133890300989151,4.604458808898926e-06
agent_boolean,scaffold_page_browse,0.35822705592936455,0.35818871734461666,-3.833858474788787e-05,0.8951862030911364,0.8951212584609097,-6.494463022665986e-05,0.8350570613409415,0.8354136947218259,0.0003566333808844302,0.1133844256401062,0.1133858859539032,1.4603137969970703e-06
agent_boolean,affordance_web_page_visit,0.35822705592936455,0.3581870983334461,-3.99575959184606e-05,0.8951862030911364,0.8951137711100567,-7.243198107964588e-05,0.8350570613409415,0.8354136947218259,0.0003566333808844302,0.1133844256401062,0.11338622123003006,1.7955899238586426e-06
agent_boolean,affordance_file_edit,0.35822705592936455,0.35813019010013375,-9.686582923079667e-05,0.8951862030911364,0.896950450828044,0.0017642477369076426,0.8350570613409415,0.8316690442225392,-0.003388017118402309,0.1133844256401062,0.11341903358697891,3.460794687271118e-05
agent_boolean,scaffold_file_edit,0.35822705592936455,0.3581033498179778,-0.00012370611138673437,0.8951862030911364,0.8967220866270217,0.0015358835358852962,0.8350570613409415,0.8322039942938659,-0.0028530670470755526,0.1133844256401062,0.11340387165546417,1.944601535797119e-05
agent_boolean,affordance_shell_access,0.35822705592936455,0.35808362603721766,-0.00014342989214688462,0.8951862030911364,0.8967017405649207,0.0015155374737843008,0.8350570613409415,0.8322039942938659,-0.0028530670470755526,0.1133844256401062,0.11339224129915237,7.815659046173096e-06
agent_boolean,affordance_file_read,0.35822705592936455,0.3580670105542962,-0.0001600453750683628,0.8951862030911364,0.8953880360271791,0.0002018329360427007,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11332147568464279,-6.294995546340942e-05
agent_boolean,scaffold_file_search,0.35822705592936455,0.3580616761443355,-0.0001653797850290628,0.8951862030911364,0.8954531434259023,0.0002669403347659305,0.8350570613409415,0.8350570613409415,0.0,0.1133844256401062,0.11332012712955475,-6.429851055145264e-05
agent_boolean,scaffold_filesystem,0.35822705592936455,0.3580032596066925,-0.00022379632267205407,0.8951862030911364,0.8954703968865643,0.00028419379542787837,0.8350570613409415,0.8355920114122682,0.0005349500713267563,0.1133844256401062,0.11329729110002518,-8.713454008102417e-05
agent_boolean,affordance_code_execution,0.35822705592936455,0.35778852347861995,-0.0004385324507445998,0.8951862030911364,0.895740755359763,0.0005545522686266624,0.8350570613409415,0.8355920114122682,0.0005349500713267563,0.1133844256401062,0.11323460191488266,-0.00014982372522354126
agent_boolean,scaffold_python_exec,0.35822705592936455,0.35775805133715105,-0.00046900459221349555,0.8951862030911364,0.8957687515412142,0.0005825484500777689,0.8350570613409415,0.8348787446504993,-0.0001783166904422151,0.1133844256401062,0.11322761327028275,-0.0001568123698234558
agent_boolean,affordance_external_judge_or_eval,0.35822705592936455,0.35765533680138784,-0.0005717191279767109,0.8951862030911364,0.894866200226411,-0.0003200028647254438,0.8350570613409415,0.8343437945791726,-0.0007132667617688604,0.1133844256401062,0.11359196901321411,0.00020754337310791016
agent_boolean,affordance_code_generation,0.35822705592936455,0.35753101219581745,-0.0006960437335470915,0.8951862030911364,0.8946132579823705,-0.0005729451087659321,0.8350570613409415,0.8348787446504993,-0.0001783166904422151,0.1133844256401062,0.11361080408096313,0.0002263784408569336
agent_categorical,model_provider,0.35822705592936455,0.35593625821592284,-0.0022907977134417057,0.8951862030911364,0.8953456348337604,0.0001594317426240055,0.8350570613409415,0.833808844507846,-0.0012482168330955057,0.1133844256401062,0.11299259215593338,-0.00039183348417282104
agent_boolean,affordance_human_dialogue,0.35822705592936455,0.3550347894504135,-0.0031922664789510447,0.8951862030911364,0.8953269978408758,0.00014079474973938133,0.8350570613409415,0.8355920114122682,0.0005349500713267563,0.1133844256401062,0.1130514070391655,-0.00033301860094070435
agent_categorical,scaffold_type,0.35822705592936455,0.3519087487539542,-0.00631830717541032,0.8951862030911364,0.8957182933072037,0.0005320902160672603,0.8350570613409415,0.8364835948644793,0.0014265335235378318,0.1133844256401062,0.11290653049945831,-0.0004778951406478882
agent_categorical,scaffold_tool_exposure_mechanism,0.35822705592936455,0.35108210001447715,-0.0071449559148873965,0.8951862030911364,0.8959919071503386,0.0008057040592022169,0.8350570613409415,0.8348787446504993,-0.0001783166904422151,0.1133844256401062,0.11259210109710693,-0.0007923245429992676
